Variable,Parameter,SS,df,MS,F,p,Eta2
Skill factor 1 (quantity flaking),Condition                     ,1.8,1,1.8,1,0.3,na
,Relative core order,4.9,4,1.2,0.7,0.6,na
,Condition*Relative core order,1,4,0.2,0.1,1,na
,Residuals                     ,263,148,1.8,,,               
Skill factor 2 (quality flaking),Condition                     ,3.4,1,3.4,2.2,0.1,na
,Relative core order,9,4,2.2,1.4,0.2,na
,Condition*Relative core order,14.8,4,3.7,2.4,0.1,na
,Residuals                     ,231.7,148,1.6,,,
Core starting mass,Condition                     ,0.3,1,0.3,4.72,0.03,0.03
,Relative core order,3.27,4,0.82,12.7,<0.01,0.25
,Condition*Relative core order,0.3,4,0.07,1.17,0.32,0.03
,Residuals                     ,9.58,149,0.06,       ,        ,               
